# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:22:31 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 429  sd7    127.02  -1000.000  1000.000  1000.000
 430  qp6    127.18  -1000.000  1000.000  1000.000
 431  qp6    127.34  -1000.000  1000.000  1000.000
 432  sd5    127.54  -1000.000  1000.000  1000.000
 433  sx7    127.54  -1000.000  1000.000  1000.000
 434  sd4    127.93  -1000.000  1000.000  1000.000
 435  qp7    128.16  -1000.000  1000.000  1000.000
 436  qp7    128.39  -1000.000  1000.000  1000.000
 437  sd3    128.59  -1000.000  1000.000  1000.000
 438  sx8    128.59  -1000.000  1000.000  1000.000
 439  sd2    128.98  -1000.000  1000.000  1000.000
 440  qp8    129.14  -1000.000  1000.000  1000.000
 441  qp8    129.30  -1000.000  1000.000  1000.000
 442  sd13   132.79  -1000.000  1000.000  1000.000
 443  sd13   136.27  -1000.000  1000.000  1000.000
 444  qp8    136.43  -1000.000  1000.000  1000.000
 445  qp8    136.59  -1000.000  1000.000  1000.000
 446  sd2    136.98  -1000.000  1000.000  1000.000
 447  sx8    136.98  -1000.000  1000.000  1000.000
 448  sd3    137.18  -1000.000  1000.000  1000.000
 449  qp7    137.41  -1000.000  1000.000  1000.000
 450  qp7    137.64  -1000.000  1000.000  1000.000
 451  sd4    138.03  -1000.000  1000.000  1000.000
 452  sx7    138.03  -1000.000  1000.000  1000.000
 453  sd5    138.23  -1000.000  1000.000  1000.000
 454  qp6    138.39  -1000.000  1000.000  1000.000
 455  qp6    138.55  -1000.000  1000.000  1000.000
 456  sd7    138.99  -1000.000  1000.000  1000.000
 457  bend2  139.16  -1000.000  1000.000  1000.000
 458  bend3  139.34  -1000.000  1000.000  1000.000
 459  bend3  139.52  -1000.000  1000.000  1000.000
 460  bend3  139.69  -1000.000  1000.000  1000.000
 461  bend3  139.87  -1000.000  1000.000  1000.000
 462  bend4  140.04  -1000.000  1000.000  1000.000
 463  sd7    140.48  -1000.000  1000.000  1000.000
 464  qp9    140.64  -1000.000  1000.000  1000.000
 465  qp9    140.80  -1000.000  1000.000  1000.000
 466  sd8    141.00  -1000.000  1000.000  1000.000
 467  sx9    141.00  -1000.000  1000.000  1000.000
 468  sd9    141.48  -1000.000  1000.000  1000.000
 469  qp10   141.64  -1000.000  1000.000  1000.000
 470  qp10   141.80  -1000.000  1000.000  1000.000
 471  sd8    142.00  -1000.000  1000.000  1000.000
 472  sx10   142.00  -1000.000  1000.000  1000.000
 473  sdac   143.90  -1000.000  1000.000  1000.000
 474  sdac   145.81  -1000.000  1000.000  1000.000
 475  sx10   145.81  -1000.000  1000.000  1000.000
 476  sd8    146.01  -1000.000  1000.000  1000.000
 477  qp10   146.17  -1000.000  1000.000  1000.000
 478  qp10   146.33  -1000.000  1000.000  1000.000
 479  sd9    146.80  -1000.000  1000.000  1000.000
 480  sx9    146.80  -1000.000  1000.000  1000.000
 481  sd8    147.00  -1000.000  1000.000  1000.000
 482  qp9    147.16  -1000.000  1000.000  1000.000
 483  qp9    147.32  -1000.000  1000.000  1000.000
 484  sd7    147.76  -1000.000  1000.000  1000.000
