# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Mon Feb 16 09:22:32 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
 163:sx7             39.02  -7.219  9.092  2.141  0.137  0.125   4.758  9.553  1.071  -1.014e-03   1.594e-03
 164:sd4             39.41  -9.497 15.611  2.146  0.186  0.125   3.793  6.218  1.079  -3.922e-04   1.594e-03
 165:qp7             39.64  -1.244 18.183  2.148  0.203  0.025   0.681  5.227  1.085  -1.544e-05   1.718e-03
 166:qp7             39.87   7.570 16.668  2.151  0.197 -0.078  -2.100  5.542  1.092   4.141e-04   2.053e-03
 167:sd3             40.07   6.870 13.780  2.153  0.182 -0.078  -2.295  6.421  1.098   8.246e-04   2.053e-03
 168:sx8             40.07   6.870 13.780  2.153  0.182 -0.078  -2.295  6.421  1.098   8.246e-04   2.053e-03
 169:sd2             40.46   5.506  8.953  2.158  0.151 -0.078  -2.675  8.359  1.106   1.625e-03   2.053e-03
 170:qp8             40.62   2.908  7.626  2.161  0.142 -0.038  -0.386  8.856  1.109   1.909e-03   1.485e-03
 171:qp8             40.78   0.824  7.038  2.165  0.139 -0.000   1.969  8.599  1.112   2.097e-03   8.564e-04
 172:sd13c           41.51   0.651  5.957  2.183  0.139 -0.000   1.555  6.018  1.128   2.724e-03   8.564e-04
 173:sd13a           41.71   0.603  5.707  2.188  0.139 -0.000   1.441  5.419  1.134   2.896e-03   8.564e-04
 174:sd13a           41.91   0.556  5.475  2.194  0.139 -0.000   1.328  4.865  1.140   3.067e-03   8.564e-04
 175:sd13a           42.11   0.508  5.262  2.200  0.139 -0.000   1.215  4.356  1.147   3.238e-03   8.564e-04
 176:sd13a           42.31   0.461  5.068  2.206  0.139 -0.000   1.102  3.893  1.154   3.410e-03   8.564e-04
 177:sd13a           42.51   0.414  4.893  2.212  0.139 -0.000   0.989  3.475  1.163   3.581e-03   8.564e-04
 178:sd13a           42.71   0.366  4.737  2.219  0.139 -0.000   0.876  3.102  1.173   3.752e-03   8.564e-04
 179:sd13a           42.91   0.319  4.600  2.226  0.139 -0.000   0.763  2.774  1.183   3.923e-03   8.564e-04
 180:sd13a           43.11   0.272  4.482  2.232  0.139 -0.000   0.649  2.492  1.195   4.095e-03   8.564e-04
 181:sd13a           43.31   0.224  4.383  2.240  0.139 -0.000   0.536  2.255  1.209   4.266e-03   8.564e-04
 182:sd13a           43.51   0.177  4.303  2.247  0.139 -0.000   0.423  2.063  1.223   4.437e-03   8.564e-04
 183:sd13a           43.71   0.129  4.241  2.254  0.139 -0.000   0.310  1.916  1.239   4.609e-03   8.564e-04
 184:sd13a           43.91   0.082  4.199  2.262  0.139 -0.000   0.197  1.815  1.256   4.780e-03   8.564e-04
 185:sd13a           44.11   0.035  4.176  2.269  0.139 -0.000   0.084  1.759  1.274   4.951e-03   8.564e-04
 186:sd13b           44.26  -0.001  4.171  2.275  0.139 -0.000  -0.001  1.746  1.288   5.080e-03   8.564e-04
 187:sd13b           44.41  -0.036  4.176  2.281  0.139 -0.000  -0.086  1.759  1.301   5.208e-03   8.564e-04
 188:sd13a           44.61  -0.084  4.200  2.288  0.139 -0.000  -0.199  1.816  1.319   5.379e-03   8.564e-04
 189:sd13a           44.81  -0.131  4.243  2.296  0.139 -0.000  -0.312  1.919  1.336   5.551e-03   8.564e-04
 190:sd13a           45.01  -0.178  4.305  2.303  0.139 -0.000  -0.425  2.066  1.352   5.722e-03   8.564e-04
 191:sd13a           45.21  -0.226  4.386  2.310  0.139 -0.000  -0.539  2.259  1.367   5.893e-03   8.564e-04
 192:sd13a           45.41  -0.273  4.486  2.318  0.139 -0.000  -0.652  2.497  1.380   6.064e-03   8.564e-04
 193:sd13a           45.61  -0.321  4.604  2.325  0.139 -0.000  -0.765  2.780  1.392   6.236e-03   8.564e-04
 194:sd13a           45.81  -0.368  4.742  2.331  0.139 -0.000  -0.878  3.109  1.403   6.407e-03   8.564e-04
 195:sd13a           46.01  -0.415  4.899  2.338  0.139 -0.000  -0.991  3.483  1.412   6.578e-03   8.564e-04
 196:sd13a           46.21  -0.463  5.074  2.344  0.139 -0.000  -1.104  3.902  1.421   6.750e-03   8.564e-04
 197:sd13a           46.41  -0.510  5.269  2.350  0.139 -0.000  -1.217  4.366  1.429   6.921e-03   8.564e-04
 198:sd13a           46.61  -0.557  5.482  2.356  0.139 -0.000  -1.331  4.876  1.435   7.092e-03   8.564e-04
 199:sd13a           46.81  -0.605  5.715  2.362  0.139 -0.000  -1.444  5.430  1.442   7.263e-03   8.564e-04
 200:sd13a           47.01  -0.652  5.966  2.367  0.139 -0.000  -1.557  6.031  1.447   7.435e-03   8.564e-04
 201:sd13c           47.74  -0.826  7.049  2.385  0.139 -0.000  -1.971  8.615  1.463   8.062e-03   8.564e-04
 202:qp8             47.90  -2.914  7.639  2.389  0.142  0.038   0.389  8.872  1.466   8.029e-03  -1.266e-03
 203:qp8             48.06  -5.517  8.968  2.392  0.151  0.078   2.682  8.373  1.469   7.660e-03  -3.329e-03
 204:sd2             48.45  -6.884 13.805  2.397  0.181  0.078   2.301  6.430  1.477   6.362e-03  -3.329e-03
 205:sx8             48.45  -6.884 13.805  2.397  0.181  0.078   2.301  6.430  1.477   6.362e-03  -3.329e-03
 206:sd3             48.65  -7.585 16.699  2.399  0.197  0.078   2.106  5.548  1.483   5.696e-03  -3.329e-03
 207:qp7             48.88   1.246 18.216  2.401  0.203 -0.025  -0.679  5.233  1.490   5.243e-03  -6.447e-04
 208:qp7             49.11   9.515 15.640  2.404  0.186 -0.125  -3.796  6.223  1.496   5.394e-03   1.966e-03
 209:sd4             49.50   7.233  9.108  2.409  0.137 -0.125  -4.761  9.561  1.504   6.160e-03   1.966e-03
 210:sx7             49.50   7.233  9.108  2.409  0.137 -0.125  -4.761  9.561  1.504   6.160e-03   1.966e-03
