# TRACY II v. SYNCHROTRON SOLEIL -- fmapdp.out -- Mon Feb 16 09:27:05 2004 
# nu = f(x) 
#    dp[m]         x[m]           fx            fz           dfx           dfz
-6.000000e-02  2.432520e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.441070e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.449590e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.458080e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.466541e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.474974e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.483377e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.491753e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-6.000000e-02  2.500100e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
-5.760000e-02  1.000000e-06 -4.124801e-01 -4.124801e-01 -1.108436e-07  7.082493e-09
-5.760000e-02  2.042241e-03 -2.735110e-01 -4.123957e-01  1.065518e-08  1.700920e-08
-5.760000e-02  2.887751e-03 -2.732268e-01 -4.123031e-01 -1.119275e-07  2.766101e-08
-5.760000e-02  3.536534e-03 -2.729421e-01 -4.122032e-01 -3.101930e-08  1.088892e-08
-5.760000e-02  4.083483e-03 -2.726564e-01 -4.120960e-01 -2.123588e-08 -2.220097e-08
-5.760000e-02  4.565355e-03 -2.723701e-01 -4.119819e-01 -1.138285e-07  5.409177e-08
-5.760000e-02  5.001000e-03 -2.720817e-01 -4.118602e-01 -1.095001e-07 -4.135350e-08
-5.760000e-02  5.401617e-03 -2.717924e-01 -4.117320e-01 -1.414855e-07 -8.975226e-09
-5.760000e-02  5.774503e-03 -2.715010e-01 -4.115959e-01  1.588374e-08  2.311604e-08
-5.760000e-02  6.124724e-03 -2.712092e-01 -4.114545e-01 -2.489125e-08 -6.288303e-08
-5.760000e-02  6.455972e-03 -2.709155e-01 -4.113053e-01 -4.472504e-08  1.911080e-07
-5.760000e-02  6.771032e-03 -2.706207e-01 -4.111496e-01 -6.276012e-09  6.701388e-08
-5.760000e-02  7.072068e-03 -2.703246e-01 -4.109874e-01 -1.902932e-07  1.181949e-07
-5.760000e-02  7.360801e-03 -2.700271e-01 -4.108186e-01 -7.059939e-08 -3.993040e-08
-5.760000e-02  7.638626e-03 -2.697284e-01 -4.106431e-01 -4.998585e-08  6.740115e-07
-5.760000e-02  7.906694e-03 -2.694288e-01 -4.104608e-01 -2.079238e-07  2.197303e-07
-5.760000e-02  8.165966e-03 -2.691278e-01 -4.102729e-01 -2.597034e-08  1.579131e-07
-5.760000e-02  8.417254e-03 -2.688258e-01 -4.100781e-01 -8.027419e-09  4.862332e-08
-5.760000e-02  8.661254e-03 -2.685229e-01 -4.098763e-01 -1.139575e-07  1.088028e-06
-5.760000e-02  8.898565e-03 -2.682188e-01 -4.096696e-01 -2.509604e-08  3.443891e-09
-5.760000e-02  9.129709e-03 -2.679154e-01 -4.094583e-01  8.748035e-07  1.213242e-06
