# TRACY II v. SYNCHROTRON SOLEIL -- chambre.out -- Mon Feb 16 09:27:02 2004 
#  i  name      s   -xch(mm)   +xch(mm)  zch (mm)
#
 353  qp5    101.70  -35.000   35.000   12.500
 354  qp5    101.86  -35.000   35.000   12.500
 355  sd9    102.34  -35.000   35.000   12.500
 356  sx3    102.34  -35.000   35.000   12.500
 357  sd8    102.54  -35.000   35.000   12.500
 358  qp4    102.70  -35.000   35.000   12.500
 359  qp4    102.86  -35.000   35.000   12.500
 360  sd7    103.30  -35.000   35.000   12.500
 361  bend2  103.47  -35.000   35.000   12.500
 362  bend3  103.65  -35.000   35.000   12.500
 363  bend3  103.83  -35.000   35.000   12.500
 364  bend3  104.00  -35.000   35.000   12.500
 365  bend3  104.18  -35.000   35.000   12.500
 366  bend4  104.35  -35.000   35.000   12.500
 367  sd7    104.79  -35.000   35.000   12.500
 368  qp6    104.95  -35.000   35.000   12.500
 369  qp6    105.11  -35.000   35.000   12.500
 370  sd5    105.31  -35.000   35.000   12.500
 371  sx5    105.31  -35.000   35.000   12.500
 372  sd4    105.70  -35.000   35.000   12.500
 373  qp7    105.93  -35.000   35.000   12.500
 374  qp7    106.16  -35.000   35.000   12.500
 375  sd3    106.36  -35.000   35.000   12.500
 376  sx6    106.36  -35.000   35.000   12.500
 377  sd2    106.75  -35.000   35.000   12.500
 378  qp8    106.91  -35.000   35.000   12.500
 379  qp8    107.07  -35.000   35.000   12.500
 380  sd13   110.55  -35.000   35.000   12.500
 381  sd13   114.04  -35.000   35.000   12.500
 382  qp8    114.20  -35.000   35.000   12.500
 383  qp8    114.36  -35.000   35.000   12.500
 384  sd2    114.75  -35.000   35.000   12.500
 385  sx8    114.75  -35.000   35.000   12.500
 386  sd3    114.95  -35.000   35.000   12.500
 387  qp7    115.18  -35.000   35.000   12.500
 388  qp7    115.41  -35.000   35.000   12.500
 389  sd4    115.80  -35.000   35.000   12.500
 390  sx7    115.80  -35.000   35.000   12.500
 391  sd5    116.00  -35.000   35.000   12.500
 392  qp6    116.16  -35.000   35.000   12.500
 393  qp6    116.32  -35.000   35.000   12.500
 394  sd7    116.76  -35.000   35.000   12.500
 395  bend2  116.93  -35.000   35.000   12.500
 396  bend3  117.11  -35.000   35.000   12.500
 397  bend3  117.28  -35.000   35.000   12.500
 398  bend3  117.46  -35.000   35.000   12.500
 399  bend3  117.63  -35.000   35.000   12.500
 400  bend4  117.81  -35.000   35.000   12.500
 401  sd7    118.25  -35.000   35.000   12.500
 402  qp9    118.41  -35.000   35.000   12.500
 403  qp9    118.57  -35.000   35.000   12.500
 404  sd8    118.77  -35.000   35.000   12.500
 405  sx9    118.77  -35.000   35.000   12.500
 406  sd9    119.25  -35.000   35.000   12.500
 407  qp10   119.41  -35.000   35.000   12.500
 408  qp10   119.57  -35.000   35.000   12.500
 409  sd8    119.77  -35.000   35.000   12.500
 410  sx10   119.77  -35.000   35.000   12.500
 411  sdac   121.67  -35.000   35.000   12.500
 412  sdac   123.57  -35.000   35.000   12.500
 413  sx10   123.57  -35.000   35.000   12.500
 414  sd8    123.77  -35.000   35.000   12.500
 415  qp10   123.93  -35.000   35.000   12.500
 416  qp10   124.09  -35.000   35.000   12.500
 417  sd9    124.57  -35.000   35.000   12.500
 418  sx9    124.57  -35.000   35.000   12.500
 419  sd8    124.77  -35.000   35.000   12.500
 420  qp9    124.93  -35.000   35.000   12.500
 421  qp9    125.09  -35.000   35.000   12.500
 422  sd7    125.53  -35.000   35.000   12.500
 423  bend2  125.71  -35.000   35.000   12.500
 424  bend3  125.88  -35.000   35.000   12.500
 425  bend3  126.06  -35.000   35.000   12.500
 426  bend3  126.23  -35.000   35.000   12.500
 427  bend3  126.41  -35.000   35.000   12.500
 428  bend4  126.58  -35.000   35.000   12.500
 429  sd7    127.02  -35.000   35.000   12.500
 430  qp6    127.18  -35.000   35.000   12.500
 431  qp6    127.34  -35.000   35.000   12.500
 432  sd5    127.54  -35.000   35.000   12.500
 433  sx7    127.54  -35.000   35.000   12.500
 434  sd4    127.93  -35.000   35.000   12.500
 435  qp7    128.16  -35.000   35.000   12.500
 436  qp7    128.39  -35.000   35.000   12.500
 437  sd3    128.59  -35.000   35.000   12.500
 438  sx8    128.59  -35.000   35.000   12.500
 439  sd2    128.98  -35.000   35.000   12.500
 440  qp8    129.14  -35.000   35.000   12.500
 441  qp8    129.30  -35.000   35.000   12.500
 442  sd13   132.79  -35.000   35.000   12.500
 443  sd13   136.27  -35.000   35.000   12.500
 444  qp8    136.43  -35.000   35.000   12.500
 445  qp8    136.59  -35.000   35.000   12.500
 446  sd2    136.98  -35.000   35.000   12.500
 447  sx8    136.98  -35.000   35.000   12.500
 448  sd3    137.18  -35.000   35.000   12.500
 449  qp7    137.41  -35.000   35.000   12.500
 450  qp7    137.64  -35.000   35.000   12.500
 451  sd4    138.03  -35.000   35.000   12.500
 452  sx7    138.03  -35.000   35.000   12.500
 453  sd5    138.23  -35.000   35.000   12.500
 454  qp6    138.39  -35.000   35.000   12.500
 455  qp6    138.55  -35.000   35.000   12.500
 456  sd7    138.99  -35.000   35.000   12.500
 457  bend2  139.16  -35.000   35.000   12.500
 458  bend3  139.34  -35.000   35.000   12.500
 459  bend3  139.52  -35.000   35.000   12.500
 460  bend3  139.69  -35.000   35.000   12.500
 461  bend3  139.87  -35.000   35.000   12.500
 462  bend4  140.04  -35.000   35.000   12.500
 463  sd7    140.48  -35.000   35.000   12.500
 464  qp9    140.64  -35.000   35.000   12.500
 465  qp9    140.80  -35.000   35.000   12.500
 466  sd8    141.00  -35.000   35.000   12.500
 467  sx9    141.00  -35.000   35.000   12.500
 468  sd9    141.48  -35.000   35.000   12.500
 469  qp10   141.64  -35.000   35.000   12.500
 470  qp10   141.80  -35.000   35.000   12.500
 471  sd8    142.00  -35.000   35.000   12.500
 472  sx10   142.00  -35.000   35.000   12.500
 473  sdac   143.90  -35.000   35.000   12.500
 474  sdac   145.81  -35.000   35.000   12.500
 475  sx10   145.81  -35.000   35.000   12.500
 476  sd8    146.01  -35.000   35.000   12.500
 477  qp10   146.17  -35.000   35.000   12.500
 478  qp10   146.33  -35.000   35.000   12.500
 479  sd9    146.80  -35.000   35.000   12.500
 480  sx9    146.80  -35.000   35.000   12.500
 481  sd8    147.00  -35.000   35.000   12.500
 482  qp9    147.16  -35.000   35.000   12.500
 483  qp9    147.32  -35.000   35.000   12.500
 484  sd7    147.76  -35.000   35.000   12.500
 485  bend2  147.94  -35.000   35.000   12.500
 486  bend3  148.11  -35.000   35.000   12.500
 487  bend3  148.29  -35.000   35.000   12.500
 488  bend3  148.46  -35.000   35.000   12.500
 489  bend3  148.64  -35.000   35.000   12.500
 490  bend4  148.82  -35.000   35.000   12.500
 491  sd7    149.26  -35.000   35.000   12.500
 492  qp6    149.42  -35.000   35.000   12.500
 493  qp6    149.58  -35.000   35.000   12.500
 494  sd5    149.78  -35.000   35.000   12.500
 495  sx7    149.78  -35.000   35.000   12.500
 496  sd4    150.17  -35.000   35.000   12.500
 497  qp7    150.40  -35.000   35.000   12.500
 498  qp7    150.63  -35.000   35.000   12.500
 499  sd3    150.83  -35.000   35.000   12.500
 500  sx8    150.83  -35.000   35.000   12.500
 501  sd2    151.22  -35.000   35.000   12.500
 502  qp8    151.38  -35.000   35.000   12.500
 503  qp8    151.54  -35.000   35.000   12.500
 504  sd13   155.02  -35.000   35.000   12.500
 505  sd13   158.50  -35.000   35.000   12.500
 506  qp8    158.66  -35.000   35.000   12.500
 507  qp8    158.82  -35.000   35.000   12.500
 508  sd2    159.21  -35.000   35.000   12.500
