# trajectory
# s[mm] rx[mm] ry[mm] rz[mm] px[rad] py[rad] pz[rad]
1.1499999999999975e+01 +9.0381964637032368e+00 +0.0000000000000000e+00 +1.1499997316628255e+01 -1.1832266931527092e-03 +0.0000000000000000e+00 +9.9999929998705150e-01
1.1599999999999975e+01 +9.0380776265822593e+00 +0.0000000000000000e+00 +1.1599997246016482e+01 -1.1935157269876197e-03 +0.0000000000000000e+00 +9.9999928775985125e-01
1.1699999999999974e+01 +9.0379577605577222e+00 +0.0000000000000000e+00 +1.1699997174176696e+01 -1.2038047643483944e-03 +0.0000000000000000e+00 +9.9999927542678235e-01
1.1799999999999974e+01 +9.0378368656292718e+00 +0.0000000000000000e+00 +1.1799997101098310e+01 -1.2140938052582291e-03 +0.0000000000000000e+00 +9.9999926298784458e-01
1.1899999999999974e+01 +9.0377149417965512e+00 +0.0000000000000000e+00 +1.1899997026770736e+01 -1.2243828497403247e-03 +0.0000000000000000e+00 +9.9999925044303783e-01
1.1999999999999973e+01 +9.0375919890592034e+00 +0.0000000000000000e+00 +1.1999996951183387e+01 -1.2346718978178883e-03 +0.0000000000000000e+00 +9.9999923779236199e-01
1.2099999999999973e+01 +9.0374680074168996e+00 +0.0000000000000000e+00 +1.2099996874325679e+01 -1.2449609485574587e-03 +0.0000000000000000e+00 +9.9999922503581806e-01
1.2199999999999973e+01 +9.0373429968694357e+00 +0.0000000000000000e+00 +1.2199996796187023e+01 -1.2552500010249985e-03 +0.0000000000000000e+00 +9.9999921217340715e-01
1.2299999999999972e+01 +9.0372169574166374e+00 +0.0000000000000000e+00 +1.2299996716756832e+01 -1.2655390552429719e-03 +0.0000000000000000e+00 +9.9999919920512925e-01
1.2399999999999972e+01 +9.0370898890583291e+00 +0.0000000000000000e+00 +1.2399996636024520e+01 -1.2758281112338495e-03 +0.0000000000000000e+00 +9.9999918613098415e-01
1.2499999999999972e+01 +9.0369617917943312e+00 +0.0000000000000000e+00 +1.2499996553979500e+01 -1.2861171690200981e-03 +0.0000000000000000e+00 +9.9999917295097185e-01
1.2599999999999971e+01 +9.0368326656244644e+00 +0.0000000000000000e+00 +1.2599996470611185e+01 -1.2964062286241809e-03 +0.0000000000000000e+00 +9.9999915966509223e-01
1.2699999999999971e+01 +9.0367025105485457e+00 +0.0000000000000000e+00 +1.2699996385908989e+01 -1.3066952900685574e-03 +0.0000000000000000e+00 +9.9999914627334519e-01
1.2799999999999971e+01 +9.0365713265663885e+00 +0.0000000000000000e+00 +1.2799996299862325e+01 -1.3169843533756833e-03 +0.0000000000000000e+00 +9.9999913277573060e-01
1.2899999999999970e+01 +9.0364391136778064e+00 +0.0000000000000000e+00 +1.2899996212460607e+01 -1.3272734185680109e-03 +0.0000000000000000e+00 +9.9999911917224837e-01
1.2999999999999970e+01 +9.0363058718826110e+00 +0.0000000000000000e+00 +1.2999996123693247e+01 -1.3375624856679885e-03 +0.0000000000000000e+00 +9.9999910546289850e-01
1.3099999999999969e+01 +9.0361716011805999e+00 +0.0000000000000000e+00 +1.3099996033549658e+01 -1.3478515549937013e-03 +0.0000000000000000e+00 +9.9999909164768042e-01
