# TRACY II v. SYNCHROTRON SOLEIL -- linlat.out -- Wed Mar 17 19:37:58 2004 
#       name           s    alphax  betax   nux   etax   etapx  alphay  betay   nuy   etay   etapy
#                     [m]            [m]           [m]                   [m]           [m]
#                     exit        
 121:qp9             29.89  -3.514  3.138  1.650  0.110  0.132   3.851 16.485  0.720  -8.911e-03   1.791e-03
 122:qp9             30.05  -5.395  4.543  1.657  0.134  0.165   7.700 14.610  0.722  -8.434e-03   4.144e-03
 123:sd8             30.25  -6.719  6.966  1.663  0.167  0.165   6.875 11.695  0.725  -7.605e-03   4.144e-03
 124:sx9             30.25  -6.719  6.966  1.663  0.167  0.165   6.875 11.695  0.725  -7.605e-03   4.144e-03
 125:sd9             30.72  -9.874 14.870  1.670  0.245  0.165   4.909  6.082  0.733  -5.631e-03   4.144e-03
 126:qp10            30.88  -5.412 17.357  1.672  0.265  0.084   2.755  4.875  0.738  -5.120e-03   2.268e-03
 127:qp10            31.04   0.120 18.218  1.673  0.272 -0.000   1.163  4.259  0.744  -4.900e-03   4.965e-04
 128:sd8             31.24   0.109 18.173  1.675  0.272 -0.000   1.053  3.816  0.752  -4.801e-03   4.965e-04
 129:sx10            31.24   0.109 18.173  1.675  0.272 -0.000   1.053  3.816  0.752  -4.801e-03   4.965e-04
 130:sdac1           32.25   0.054 18.010  1.684  0.272 -0.000   0.501  2.254  0.807  -4.302e-03   4.965e-04
 131:ssdac           32.25   0.054 18.010  1.684  0.272 -0.000   0.501  2.254  0.807  -4.302e-03   4.965e-04
 132:sdac2           32.45   0.043 17.990  1.685  0.272 -0.000   0.391  2.076  0.822  -4.202e-03   4.965e-04
 133:sdac2           32.65   0.032 17.975  1.687  0.272 -0.000   0.281  1.941  0.837  -4.103e-03   4.965e-04
 134:sdac2           32.85   0.021 17.965  1.689  0.272 -0.000   0.171  1.851  0.854  -4.004e-03   4.965e-04
 135:sdac2           33.05   0.010 17.959  1.691  0.272 -0.000   0.061  1.804  0.871  -3.905e-03   4.965e-04
 136:sdac2           33.25  -0.001 17.957  1.692  0.272 -0.000  -0.049  1.801  0.889  -3.805e-03   4.965e-04
 137:sdac2           33.45  -0.012 17.960  1.694  0.272 -0.000  -0.158  1.843  0.906  -3.706e-03   4.965e-04
 138:sdac2           33.65  -0.023 17.967  1.696  0.272 -0.000  -0.268  1.928  0.923  -3.607e-03   4.965e-04
 139:sdac2           33.85  -0.034 17.979  1.698  0.271 -0.000  -0.378  2.058  0.939  -3.507e-03   4.965e-04
 140:sdac2           34.05  -0.045 17.995  1.699  0.271 -0.000  -0.488  2.231  0.954  -3.408e-03   4.965e-04
 141:esdac           34.05  -0.045 17.995  1.699  0.271 -0.000  -0.488  2.231  0.954  -3.408e-03   4.965e-04
 142:sdac1           35.05  -0.101 18.141  1.708  0.271 -0.000  -1.040  3.767  1.010  -2.909e-03   4.965e-04
 143:sx10            35.05  -0.101 18.141  1.708  0.271 -0.000  -1.040  3.767  1.010  -2.909e-03   4.965e-04
 144:sd8             35.25  -0.112 18.184  1.710  0.271 -0.000  -1.150  4.205  1.018  -2.810e-03   4.965e-04
 145:qp10            35.41   5.409 17.322  1.711  0.264 -0.085  -2.723  4.814  1.023  -2.787e-03  -2.120e-04
 146:qp10            35.57   9.861 14.837  1.713  0.244 -0.165  -4.852  6.006  1.028  -2.879e-03  -9.396e-04
 147:sd9             36.05   6.707  6.945  1.720  0.166 -0.165  -6.798 11.556  1.037  -3.326e-03  -9.396e-04
 148:sx9             36.05   6.707  6.945  1.720  0.166 -0.165  -6.798 11.556  1.037  -3.326e-03  -9.396e-04
 149:sd8             36.25   5.383  4.527  1.726  0.133 -0.165  -7.615 14.438  1.040  -3.514e-03  -9.396e-04
 150:qp9             36.41   3.507  3.125  1.733  0.109 -0.132  -3.812 16.293  1.041  -3.589e-03   6.830e-06
 151:qp9             36.57   2.246  2.217  1.742  0.090 -0.105   0.641 16.808  1.043  -3.512e-03   9.558e-04
 152:sd7             37.01   1.049  0.768  1.797  0.044 -0.105   0.604 16.260  1.047  -3.091e-03   9.558e-04
 153:bend2           37.18   0.567  0.487  1.843  0.029 -0.072   0.884 15.946  1.049  -2.914e-03   1.013e-03
 154:bend3           37.36   0.097  0.370  1.910  0.019 -0.039   0.864 15.640  1.051  -2.736e-03   1.013e-03
 155:bend3           37.53  -0.373  0.419  1.983  0.015 -0.007   0.845 15.340  1.052  -2.558e-03   1.013e-03
 156:bend3           37.71  -0.842  0.632  2.038  0.016  0.026   0.825 15.047  1.054  -2.381e-03   1.013e-03
 157:bend3           37.88  -1.307  1.009  2.073  0.024  0.058   0.806 14.761  1.056  -2.203e-03   1.013e-03
 158:bend4           38.06  -1.795  1.549  2.096  0.037  0.092   1.053 14.482  1.058  -2.026e-03   1.050e-03
 159:sd7             38.50  -2.992  3.655  2.125  0.077  0.092   0.989 13.583  1.063  -1.564e-03   1.050e-03
 160:qp6             38.66  -4.275  4.807  2.131  0.093  0.107   3.294 12.892  1.065  -1.374e-03   1.308e-03
 161:qp6             38.82  -6.051  6.443  2.136  0.112  0.125   5.225 11.516  1.067  -1.147e-03   1.528e-03
 162:sd5             39.02  -7.219  9.097  2.140  0.137  0.125   4.734  9.524  1.070  -8.413e-04   1.528e-03
 163:sx7             39.02  -7.219  9.097  2.140  0.137  0.125   4.734  9.524  1.070  -8.413e-04   1.528e-03
 164:sd4             39.41  -9.495 15.616  2.145  0.186  0.125   3.776  6.205  1.078  -2.453e-04   1.528e-03
 165:qp7             39.64  -1.242 18.187  2.147  0.203  0.025   0.670  5.221  1.084   1.248e-04   1.725e-03
 166:qp7             39.87   7.571 16.671  2.149  0.197 -0.078  -2.109  5.540  1.091   5.642e-04   2.132e-03
